TRDD2-201	TRDD2
AC239618.3-201	TRBJ1-2
AC239618.9-201	TRBJ1-3
AC239618.7-201	TRBJ1-4
AC239618.5-201	TRBJ1-5
AC239618.1-201	TRBJ1-6
TRBJ2-1-202	TRBJ2-1
TRBJ2-2-202	TRBJ2-2
TRBJ2-2P-202	TRBJ2-2P
TRBJ2-3-202	TRBJ2-3
TRBJ2-4-202	TRBJ2-4
TRBJ2-5-202	TRBJ2-5
TRBJ2-6-202	TRBJ2-6
TRBJ2-7-202	TRBJ2-7
AC245427.6-201	TRBJ1-1
AC245427.7-201	TRBJ1-2
AC245427.4-201	TRBJ1-3
AC245427.3-201	TRBJ1-4
AC245427.5-201	TRBJ1-5
AC245427.9-201	TRBJ1-6
TRBJ2-1-201	TRBJ2-1
TRBJ2-2-201	TRBJ2-2
TRBJ2-2P-201	TRBJ2-2P
TRBJ2-3-201	TRBJ2-3
TRBJ2-4-201	TRBJ2-4
TRBJ2-5-201	TRBJ2-5
TRBJ2-6-201	TRBJ2-6
TRBJ2-7-201	TRBJ2-7
AC012314.7-201	AC012314.17
AC012314.7-202	AC012314.17
FAM231D-201	AC213203.1
AC243790.1-201	AC243790.1
AC012314.1-201	AC012314.1
TARM1-203	TARM1
AC012314.11-201	AC012314.23
ZKSCAN7-215	ZKSCAN7
ZKSCAN7-209	ZKSCAN7
ZKSCAN7-216	ZKSCAN7
ZKSCAN7-210	ZKSCAN7
ZKSCAN7-213	ZKSCAN7
ZKSCAN7-212	ZKSCAN7
ZKSCAN7-214	ZKSCAN7
OSCAR-243	OSCAR
OSCAR-247	OSCAR
OSCAR-244	OSCAR
OSCAR-245	OSCAR
OSCAR-246	OSCAR
MAP4K5-201	MAP4K5
MAP4K5-203	MAP4K5
MAP4K5-206	MAP4K5
MAP4K5-209	MAP4K5
MAP4K5-204	MAP4K5
SAV1-203	SAV1
SAV1-201	SAV1
SAV1-202	SAV1
SAV1-205	SAV1
SAV1-204	SAV1
IRF3-201	IRF3
IRF3-227	IRF3
IRF3-215	IRF3
IRF3-228	IRF3
IRF3-203	IRF3
IRF3-217	IRF3
IRF3-219	IRF3
IRF3-223	IRF3
IRF3-207	IRF3
IRF3-225	IRF3
IRF3-213	IRF3
IRF3-222	IRF3
IRF3-221	IRF3
IRF3-212	IRF3
IRF3-220	IRF3
IRF3-209	IRF3
IRF3-206	IRF3
IRF3-229	IRF3
IRF3-205	IRF3
IRF3-230	IRF3
IRF3-214	IRF3
IRF3-226	IRF3
IRF3-202	IRF3
IRF3-204	IRF3
TTC12-219	TTC12
TTC12-203	TTC12
TTC12-204	TTC12
TTC12-221	TTC12
TTC12-220	TTC12
TTC12-215	TTC12
TTC12-207	TTC12
